code,name,nature,requires_third_party,is_withholding,dian_concept
1,ACTIVO,Debito,false,false,
11,DISPONIBLE,Debito,false,false,
1105,CAJA,Debito,false,false,
110505,CAJA GENERAL,Debito,false,false,
110510,CAJAS MENORES,Debito,false,false,
1110,BANCOS,Debito,false,false,
111005,MONEDA NACIONAL,Debito,false,false,
111010,MONEDA EXTRANJERA,Debito,false,false,
1120,CUENTAS DE AHORRO,Debito,false,false,
112005,BANCOS,Debito,false,false,
12,INVERSIONES,Debito,false,false,
1205,ACCIONES,Debito,false,false,
120505,ACCIONES,Debito,false,false,
13,DEUDORES,Debito,false,false,
1305,CLIENTES,Debito,false,false,
130505,NACIONALES,Debito,true,false,
130510,DEL EXTERIOR,Debito,true,false,
1330,ANTICIPOS Y AVANCES,Debito,false,false,
133005,A PROVEEDORES,Debito,true,false,
1355,ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR,Debito,false,false,
135505,ANTICIPO DE IMPUESTO DE RENTA Y COMPLEMENTARIOS,Debito,false,false,
135515,RETENCION EN LA FUENTE,Debito,false,false,
135517,IMPUESTO A LAS VENTAS RETENIDO,Debito,false,false,
135518,IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO,Debito,false,false,
14,INVENTARIOS,Debito,false,false,
1435,MERCANCIAS NO FABRICADAS POR LA EMPRESA,Debito,false,false,
143505,MERCANCIAS NO FABRICADAS POR LA EMPRESA,Debito,false,false,
15,"PROPIEDADES, PLANTA Y EQUIPO",Debito,false,false,
1504,TERRENOS,Debito,false,false,
150405,URBANOS,Debito,false,false,
1516,CONSTRUCCIONES Y EDIFICACIONES,Debito,false,false,
151605,EDIFICIOS,Debito,false,false,
1524,EQUIPO DE OFICINA,Debito,false,false,
152405,MUEBLES Y ENSERES,Debito,false,false,
1528,EQUIPO DE COMPUTACION Y COMUNICACION,Debito,false,false,
152805,EQUIPO DE PROCESAMIENTO DE DATOS,Debito,false,false,
1540,FLOTA Y EQUIPO DE TRANSPORTE,Debito,false,false,
154005,"AUTOS, CAMIONETAS Y CAMPEROS",Debito,false,false,
1592,DEPRECIACION ACUMULADA,Crédito,false,false,
159205,CONSTRUCCIONES Y EDIFICACIONES,Crédito,false,false,
159215,EQUIPO DE OFICINA,Crédito,false,false,
2,PASIVO,Crédito,false,false,
21,OBLIGACIONES FINANCIERAS,Crédito,false,false,
2105,BANCOS NACIONALES,Crédito,false,false,
210505,SOBREGIROS,Crédito,false,false,
210510,PAGARES,Crédito,false,false,
22,PROVEEDORES,Crédito,false,false,
2205,NACIONALES,Crédito,true,false,
2210,DEL EXTERIOR,Crédito,true,false,
23,CUENTAS POR PAGAR,Crédito,false,false,
2335,COSTOS Y GASTOS POR PAGAR,Crédito,false,false,
233525,HONORARIOS,Crédito,true,false,
233530,SERVICIOS TECNICOS,Crédito,true,false,
2365,RETENCION EN LA FUENTE,Crédito,false,false,
236505,SALARIOS Y PAGOS LABORALES,Crédito,true,true,5001
236515,HONORARIOS,Crédito,true,true,5002
236520,COMISIONES,Crédito,true,true,5003
236525,SERVICIOS,Crédito,true,true,5004
236530,ARRENDAMIENTOS,Crédito,true,true,5005
236535,RENDIMIENTOS FINANCIEROS,Crédito,true,true,5006
236540,COMPRAS,Crédito,true,true,5007
2367,IMPUESTO A LAS VENTAS RETENIDO,Crédito,true,true,
2368,IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO,Crédito,true,true,
24,"IMPUESTOS, GRAVAMENES Y TASAS",Crédito,false,false,
2404,DE RENTA Y COMPLEMENTARIOS,Crédito,false,false,
2408,IMPUESTO SOBRE LAS VENTAS POR PAGAR,Crédito,false,false,
2412,DE INDUSTRIA Y COMERCIO,Crédito,false,false,
25,OBLIGACIONES LABORALES,Crédito,false,false,
2505,SALARIOS POR PAGAR,Crédito,true,false,
2510,CESANTIAS CONSOLIDADAS,Crédito,false,false,
2515,INTERESES SOBRE CESANTIAS,Crédito,false,false,
2520,PRIMA DE SERVICIOS,Crédito,false,false,
2525,VACACIONES CONSOLIDADAS,Crédito,false,false,
3,PATRIMONIO,Crédito,false,false,
31,CAPITAL SOCIAL,Crédito,false,false,
3105,CAPITAL SUSCRITO Y PAGADO,Crédito,false,false,
